symbol,ex_date,dividend_per_share,status,traded_on_ex_date,isin,subject,raw_file
ITC,2021-02-22,5.0,OK,True,INE154A01025,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/ITC/2020-09-30_2021-09-29.json
POWERGRID,2021-03-08,4.0,OK,True,INE752E01010,Interim Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/POWERGRID/2020-09-30_2021-09-29.json
COALINDIA,2021-03-15,5.0,OK,True,INE522F01014,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/COALINDIA/2020-09-30_2021-09-29.json
GAIL,2021-03-22,2.5,OK,True,INE129A01019,Interim Dividend - Rs 2.5 Per Share,data/raw/corporate_actions/nse_api/GAIL/2020-09-30_2021-09-29.json
BEL,2021-03-23,1.4,OK,True,INE263A01016,Interim Dividend - Rs 1.40 Per Share,data/raw/corporate_actions/nse_api/BEL/2020-09-30_2021-09-29.json
IOC,2021-03-23,3.0,OK,True,INE242A01010,Interim Dividend - Rs 3 Per Share,data/raw/corporate_actions/nse_api/IOC/2020-09-30_2021-09-29.json
BPCL,2021-03-25,5.0,OK,True,INE029A01011,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/BPCL/2020-09-30_2021-09-29.json
SBILIFE,2021-04-05,2.5,OK,True,INE123W01016,Interim Dividend - Rs 2.5 Per Share,data/raw/corporate_actions/nse_api/SBILIFE/2020-09-30_2021-09-29.json
SHRIRAMFIN,2021-04-05,6.0,OK,False,INE721A01013,Interim Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/SHRIRAMFIN/2020-09-30_2021-09-29.json
BRITANNIA,2021-04-08,62.0,OK,True,INE216A01014,Interim Dividend - Rs 62 Per Share,data/raw/corporate_actions/nse_api/BRITANNIA/2020-09-30_2021-09-29.json
HCLTECH,2021-04-29,16.0,OK,True,INE860A01027,Interim Dividend - Rs 6 Per Share Special Interim Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2020-09-30_2021-09-29.json
NESTLEIND,2021-04-29,90.0,OK,True,INE239A01016,Annual General Meeting/Dividend - Rs 65 Per Share || Interim Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/NESTLEIND/2020-09-30_2021-09-29.json
BRITANNIA,2021-05-25,12.5,OK,True,INE216A01014,Dividend - Rs 12.50 Per Share Pursuant To Scheme,data/raw/corporate_actions/nse_api/BRITANNIA/2020-09-30_2021-09-29.json
TCS,2021-05-25,15.0,OK,True,INE467B01029,Dividend - Rs 15 Per Share,data/raw/corporate_actions/nse_api/TCS/2020-09-30_2021-09-29.json
IBULHSGFIN,2021-05-28,9.0,OK,True,INE148I01020,Interim Dividend - Rs 9 Per Share,data/raw/corporate_actions/nse_api/SAMMAANCAP/2020-09-30_2021-09-29.json
HDFC,2021-05-31,23.0,OK,True,INE001A01028,Dividend - Rs 23 Per Sh,data/raw/corporate_actions/nse_api/HDFC/2020-09-30_2021-09-29.json
INFY,2021-05-31,15.0,OK,True,INE009A01021,Annual General Meeting/Dividend - Rs 15 Per Share,data/raw/corporate_actions/nse_api/INFY/2020-09-30_2021-09-29.json
SBIN,2021-06-03,4.0,OK,True,INE062A01012,Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/SBIN/2020-09-30_2021-09-29.json
ASIANPAINT,2021-06-10,14.5,OK,True,INE021A01018,Dividend - Rs 14.50 Per Sh,data/raw/corporate_actions/nse_api/ASIANPAINT/2020-09-30_2021-09-29.json
ITC,2021-06-10,5.75,OK,True,INE154A01025,Dividend - Rs 5.75 Per Share,data/raw/corporate_actions/nse_api/ITC/2020-09-30_2021-09-29.json
TATACONSUM,2021-06-10,4.05,OK,True,INE192A01025,Annual General Meeting/Dividend - Rs 4.05 Per Share,data/raw/corporate_actions/nse_api/TATACONSUM/2020-09-30_2021-09-29.json
RELIANCE,2021-06-11,7.0,OK,True,INE002A01018,Dividend - Rs 7 Per Share,data/raw/corporate_actions/nse_api/RELIANCE/2020-09-30_2021-09-29.json
