folder_symbol,nse_symbol,isin,series,ex_date,record_date,subject,dividend_per_share,dividend_status,raw_file
BEL,BEL,INE263A01016,EQ,2024-03-22,23-Mar-2024,Interim Dividend - Re 0.70 Per Share,0.7,OK,data/raw/corporate_actions/nse_api/BEL/2023-09-30_2024-09-28.json
BEL,BEL,INE263A01016,EQ,2024-08-14,-,Annual General Meeting/Dividend - Re 0.80 Per Share,0.8,OK,data/raw/corporate_actions/nse_api/BEL/2023-09-30_2024-09-28.json
BEL,BEL,INE263A01016,EQ,2025-03-11,11-Mar-2025,Interim Dividend - Rs 1.5 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/BEL/2024-09-29_2025-09-28.json
BEL,BEL,INE263A01016,EQ,2025-08-14,14-Aug-2025,Dividend - Rs 0.90 Per Share,0.9,OK,data/raw/corporate_actions/nse_api/BEL/2024-09-29_2025-09-28.json
BEL,BEL,INE263A01016,EQ,2026-03-06,06-Mar-2026,Interim Dividend - Rs 1.95 Per Share,1.95,OK,data/raw/corporate_actions/nse_api/BEL/2025-09-29_2026-09-16.json
BEL,BEL,INE263A01016,EQ,2026-08-13,13-Aug-2026,Dividend - Re 0.55 Per Share,0.55,OK,data/raw/corporate_actions/nse_api/BEL/2025-09-29_2026-09-16.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2020-08-06,07-Aug-2020,Dividend - Rs 2 Per Share,2.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2019-10-01_2020-09-29.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2021-09-27,28-Sep-2021,Rights 1:14 @ Premium Rs 530/-,0.0,NONE,data/raw/corporate_actions/nse_api/BHARTIARTL/2020-09-30_2021-09-29.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2022-08-01,02-Aug-2022,Dividend - Rs 3 Per Share,3.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2021-09-30_2022-09-29.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2023-08-11,11-Aug-2023,Dividend - Rs 4 Per Share,4.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2022-09-30_2023-09-29.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2024-08-07,07-Aug-2024,Dividend - Rs 8 Per Share,8.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2023-09-30_2024-09-28.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2025-07-18,18-Jul-2025,Dividend - Rs 16 Per Share,16.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2024-09-29_2025-09-28.json
BHARTIARTL,BHARTIARTL,INE397D01024,EQ,2026-07-24,24-Jul-2026,Dividend - Rs 24 Per Share,24.0,OK,data/raw/corporate_actions/nse_api/BHARTIARTL/2025-09-29_2026-09-16.json
BPCL,BPCL,INE029A01011,EQ,2020-03-23,24-Mar-2020,Interim Dividend - Rs 16.50 Per Share,16.5,OK,data/raw/corporate_actions/nse_api/BPCL/2019-10-01_2020-09-29.json
BPCL,BPCL,INE029A01011,EQ,2020-09-18,-,Annual General Meeting,0.0,NONE,data/raw/corporate_actions/nse_api/BPCL/2019-10-01_2020-09-29.json
BPCL,BPCL,INE029A01011,EQ,2021-02-17,19-Feb-2021,Interim Dividend - Rs 16 Per Share,16.0,OK,data/raw/corporate_actions/nse_api/BPCL/2020-09-30_2021-09-29.json
BPCL,BPCL,INE029A01011,EQ,2021-03-25,27-Mar-2021,Interim Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BPCL/2020-09-30_2021-09-29.json
BPCL,BPCL,INE029A01011,EQ,2021-09-16,-,Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share,58.0,OK,data/raw/corporate_actions/nse_api/BPCL/2020-09-30_2021-09-29.json
BPCL,BPCL,INE029A01011,EQ,2021-11-11,12-Nov-2021,Interim Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BPCL/2021-09-30_2022-09-29.json
BPCL,BPCL,INE029A01011,EQ,2022-02-10,11-Feb-2022,Interim Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BPCL/2021-09-30_2022-09-29.json
BPCL,BPCL,INE029A01011,EQ,2022-08-19,-,Annual General Meeting/Dividend - Rs 6 Per Share,6.0,OK,data/raw/corporate_actions/nse_api/BPCL/2021-09-30_2022-09-29.json
BPCL,BPCL,INE029A01011,EQ,2023-08-11,11-Aug-2023,Dividend - Rs 4 Per Share,4.0,OK,data/raw/corporate_actions/nse_api/BPCL/2022-09-30_2023-09-29.json
BPCL,BPCL,INE029A01011,EQ,2023-12-12,12-Dec-2023,Interim Dividend - Rs 21 Per Share,21.0,OK,data/raw/corporate_actions/nse_api/BPCL/2023-09-30_2024-09-28.json
BPCL,BPCL,INE029A01011,EQ,2024-06-21,22-Jun-2024,Bonus 1:1,0.0,NONE,data/raw/corporate_actions/nse_api/BPCL/2023-09-30_2024-09-28.json
BPCL,BPCL,INE029A01011,EQ,2024-08-09,09-Aug-2024,Dividend - Rs 10.5 Per Share,10.5,OK,data/raw/corporate_actions/nse_api/BPCL/2023-09-30_2024-09-28.json
BPCL,BPCL,INE029A01011,EQ,2025-01-29,29-Jan-2025,Interim Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BPCL/2024-09-29_2025-09-28.json
BPCL,BPCL,INE029A01011,EQ,2025-07-31,31-Jul-2025,Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BPCL/2024-09-29_2025-09-28.json
BPCL,BPCL,INE029A01011,EQ,2025-11-07,07-Nov-2025,Interim Dividend - Rs 7.50 Per Share,7.5,OK,data/raw/corporate_actions/nse_api/BPCL/2025-09-29_2026-09-16.json
BPCL,BPCL,INE029A01011,EQ,2026-02-02,02-Feb-2026,Interim Dividend - Rs 10 Per Share,10.0,OK,data/raw/corporate_actions/nse_api/BPCL/2025-09-29_2026-09-16.json
BRITANNIA,BRITANNIA,INE216A01014,EQ,2020-04-29,02-May-2020,Interim Dividend-Rs 35 Per Share,35.0,OK,data/raw/corporate_actions/nse_api/BRITANNIA/2019-10-01_2020-09-29.json
